Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,TimeStamp
1.6222417,1.0106552,0.9250183,1.2424855,1.0200689,0.31671652,0.5978796,0.75381744,1.288126,0.22486871,0.45565158,1.1104825,1.1549978,0.15127732,0.05680753,1.5620273,1.2844237,0.5196212,0.30192044,1.2969072,804.2491,852.1978,850.989,877.5824,698.2784,0.29425048828125,0.20904541015625,0.92523193359375,8.9422607421875,0.478515625,11.64886474609375,1.0,2.0,1.0,1.0,2.0,90.48,0.0,2023-10-31 20:36:16.337
1.6222417,0.40535146,0.48923364,1.2424855,1.0200689,0.048484944,0.123273775,0.75381744,1.288126,0.030464273,0.06916275,1.1104825,1.1549978,0.011980259,0.15311329,1.5620273,1.2844237,0.4720468,0.22871417,1.2969072,852.1978,848.97437,845.34796,918.68134,812.71063,0.3402099609375,0.23272705078125,0.91473388671875,1.308441162109375,2.280426025390625,3.491668701171875,1.0,2.0,1.0,1.0,2.0,90.48,0.0,2023-10-31 20:36:17.344
1.6222417,0.11964638,0.32895616,1.2913374,1.0200689,0.14736095,0.21568412,1.5172893,1.288126,0.057141814,0.44875303,1.4870654,1.1549978,0.02386432,0.11187183,1.430822,1.2844237,0.34356728,0.2072406,0.9727252,949.304,856.63007,853.4066,942.4542,824.3956,0.37322998046875,0.2354736328125,0.912109375,2.220611572265625,0.01495361328125,3.887939453125,1.0,1.0,1.0,1.0,1.0,90.45,0.0,2023-10-31 20:36:18.344
1.6222417,0.105607495,0.021636587,1.2913374,1.0200689,0.11511663,0.1724818,1.5172893,1.288126,0.24713604,0.45326275,1.4870654,1.1549978,0.07325312,0.27019665,1.430822,1.2844237,0.23706546,0.07517649,0.9727252,883.6264,854.61536,851.39197,963.4066,919.0842,0.36773681640625,0.22686767578125,0.90618896484375,0.336456298828125,0.112152099609375,6.02630615234375,1.0,1.0,1.0,1.0,1.0,90.45,0.0,2023-10-31 20:36:19.354
1.6222417,0.13061868,0.047752436,1.2913374,1.0200689,0.39527285,0.19117312,1.5172893,1.288126,0.004140745,0.08454156,1.4870654,1.1549978,0.041329246,0.15004487,1.430822,1.2844237,0.25352263,0.103878476,0.9727252,883.22345,851.39197,839.304,1008.1319,868.71796,0.3736572265625,0.26947021484375,0.88824462890625,3.671112060546875,1.12152099609375,6.168365478515625,1.0,1.0,1.0,1.0,1.0,90.45,0.0,2023-10-31 20:36:20.362
1.6222417,0.5017145,0.1827653,1.2913374,1.0200689,0.4822768,0.2979081,1.5172893,1.288126,0.011427737,0.0813638,1.4870654,1.1549978,0.057045575,0.15731224,1.430822,1.2844237,0.33062762,0.11605542,0.9727252,932.381,852.1978,843.3333,862.674,896.52014,0.41064453125,0.225341796875,0.9024658203125,0.777587890625,1.65985107421875,1.786956787109375,1.0,2.0,1.0,1.0,2.0,90.45,0.0,2023-10-31 20:36:21.371
1.6222417,0.38368618,0.14958616,1.2913374,1.0200689,0.4236232,0.12484142,1.5172893,1.288126,0.13272777,0.2771227,1.4870654,1.1549978,0.07979048,0.07416748,1.430822,1.2844237,0.17685059,0.02348264,0.9727252,848.97437,856.2271,854.21246,817.1429,798.60803,0.38629150390625,0.27734375,0.8963623046875,0.059814453125,1.278533935546875,8.134765625,1.0,2.0,1.0,1.0,2.0,90.45,0.0,2023-10-31 20:36:22.377
1.6222417,0.43265617,0.011311887,1.2913374,1.0200689,0.29325408,0.07764459,1.5172893,1.288126,0.0028587948,0.35837504,1.4870654,1.1549978,0.06820791,0.25775328,1.430822,1.2844237,0.15439901,0.14475556,0.9727252,934.3956,843.3333,849.7802,849.3773,781.28204,0.38519287109375,0.270751953125,0.8896484375,0.8074951171875,2.385101318359375,13.704986572265623,1.0,2.0,1.0,1.0,2.0,90.45,0.0,2023-10-31 20:36:23.387
1.6222417,0.49459046,0.06254285,1.2913374,1.0200689,0.2593047,0.08690358,1.5172893,1.288126,0.16407068,0.36541867,1.4870654,1.1549978,0.16464558,0.15625922,1.430822,1.2844237,0.2090134,0.24793686,0.9727252,850.58606,842.9304,848.97437,731.7216,755.89746,0.3975830078125,0.279052734375,0.89398193359375,1.517791748046875,0.04486083984375,4.029998779296875,1.0,2.0,1.0,1.0,2.0,90.45,0.0,2023-10-31 20:36:24.394
1.6222417,0.36068958,0.07906851,1.2913374,1.0200689,0.32634157,0.0806416,1.5172893,1.288126,0.15759215,0.27079386,1.4870654,1.1549978,0.18489218,0.104829915,1.430822,1.2844237,0.30985937,0.007823956,0.9727252,857.8388,849.7802,837.28937,794.17584,845.34796,0.3970947265625,0.27032470703125,0.88232421875,3.7982177734375,3.357086181640625,0.7177734375,1.0,2.0,1.0,1.0,2.0,90.45,0.0,2023-10-31 20:36:25.394
1.5209945,0.118433364,0.040176664,1.2913374,1.2496163,0.3321664,0.15605383,1.5172893,1.4341247,0.007043645,0.060118992,1.4870654,0.6258568,0.07298167,0.10294086,1.430822,0.44107282,0.095358804,0.12105224,0.9727252,850.58606,844.5421,850.18317,718.8278,766.3736,0.41925048828125,0.26678466796875,0.869873046875,0.76263427734375,0.082244873046875,2.82623291015625,1.0,1.0,1.0,1.0,1.0,90.45,0.0,2023-10-31 20:36:26.403
1.8123839,0.16072272,0.38816774,1.3499815,1.4173161,0.35373825,0.32533166,1.5227898,1.4683014,0.29107717,0.12248884,1.6416503,0.6789732,0.018628104,0.17645742,1.5637385,0.5358829,0.024082536,0.16209522,1.0821159,813.91943,851.79486,855.82416,701.0989,746.2271,0.42523193359375,0.28131103515625,0.884521484375,3.117828369140625,3.60382080078125,11.775970458984377,1.0,1.0,1.0,1.0,1.0,90.45,0.0,2023-10-31 20:36:27.410
1.8280257,0.13088156,0.32743526,1.6070573,1.4179174,0.23445988,0.27767444,1.4038095,1.3639703,0.62299955,0.096291944,1.6274513,0.66619265,0.33247095,0.417345,1.5617136,0.5326857,0.08815233,0.23527151,1.1423827,798.60803,851.79486,864.68866,861.4652,842.9304,0.185302734375,0.09783935546875,0.972412109375,5.06927490234375,5.764617919921875,0.49346923828125,1.0,1.0,1.0,1.0,1.0,90.44,0.0,2023-10-31 20:36:28.420
1.8280257,0.29749793,0.074373156,1.8145766,1.4179174,0.1864743,0.2789359,1.5288289,1.3639703,0.61246055,0.32552108,1.5948561,0.66619265,0.39974838,0.74698013,1.5534039,0.5326857,0.2581583,0.42040053,1.1267302,742.6007,852.6007,839.304,774.43225,611.6484,0.28680419921875,0.1851806640625,0.9423828125,9.443206787109377,2.7215576171875,5.345916748046875,1.0,1.0,1.0,1.0,1.0,90.44,0.0,2023-10-31 20:36:29.427
1.8280257,0.046836384,0.26468527,1.8145766,1.4179174,0.35164022,0.3111709,1.5288289,1.3639703,0.017311927,0.27190608,1.5948561,0.66619265,0.25618553,0.37087983,1.5534039,0.5326857,0.17481273,0.2947273,1.1267302,833.2601,851.39197,844.5421,869.92676,999.67035,0.298828125,0.18878173828125,0.93658447265625,1.7047119140625,2.332763671875,1.8243408203125,1.0,2.0,1.0,1.0,2.0,90.44,0.0,2023-10-31 20:36:30.436
1.0318006,0.2568076,0.19141227,1.8145766,0.8303579,0.2858997,0.3582747,1.5288289,1.1281315,0.34364834,0.24908198,1.5948561,0.5788136,0.26639608,0.4014923,1.5534039,0.4185927,0.07265007,0.2788746,1.1267302,898.93774,866.30035,846.55676,909.81683,979.5238,0.30072021484375,0.21234130859375,0.934326171875,1.667327880859375,0.934600830078125,3.9178466796875,1.0,1.0,1.0,1.0,1.0,90.44,0.0,2023-10-31 20:36:31.443
